artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop,release_date,artist_genre,name
The Black Keys,Brothers,Tighten Up,2MVwrvjmcdt4MsYYLCYMt8,0.504,0.705,6,-6.179,0,0.0665,4.12e-06,0.453,0.567,108.965,211080,4,7mnBLXK823vNxN3UWB7Gfz,62.0,70.0,2010-05-18,alternative rock,1/13/20
Of Monsters and Men,FEVER DREAM,Wars,6DZ5EOzz715nW5UIovhIWD,0.564,0.879,6,-6.242,0,0.0348,0.000213,0.351,0.601,111.992,217120,4,4dwdTW1Lfiq0cM8nBAqIIz,51.0,67.0,2019-07-26,folk-pop,1/13/20
Coldplay,Everyday Life,Arabesque,0ZlVUhjO8c0bOx1D2Btznf,0.401,0.834,7,-7.727,1,0.055,0.849,0.373,0.163,172.009,340280,4,4gzpq5DPGxSnKTe4SA8HAU,61.0,86.0,2019-11-22,permanent wave,1/08/20
Coldplay,Everyday Life,WOTW / POTP,7jib2tJjQ82kTIZZATMvAK,0.692,0.294,10,-15.483,1,0.248,0.929,0.116,0.802,133.686,76933,4,4gzpq5DPGxSnKTe4SA8HAU,47.0,86.0,2019-11-22,permanent wave,1/08/20
Whitney,Light Upon the Lake,No Woman,1CLmFKW99S8eJrebO3GB04,0.581,0.4,2,-8.739,1,0.0291,0.576,0.161,0.433,112.331,237973,4,32aUoW94mJ7xTJI7fG0V1G,2.0,53.0,2016-06-03,chicago indie,1/08/20
Whitney,Light Upon the Lake: Demo Recordings,Southern Nights,3HNKZy1An5Jlnb02lcV2yd,0.568,0.295,7,-7.867,0,0.0494,0.499,0.14,0.43,84.225,212622,4,32aUoW94mJ7xTJI7fG0V1G,0.0,53.0,2017-11-10,chicago indie,1/08/20
The Sandals,The Original Soundtrack Music From Bruce Brown's The Endless Summer,"Theme From ""The Endless Summer""",0sipGTHxtDrsTH1D9FAujS,0.481,0.189,7,-16.923,1,0.0355,0.000198,0.0828,0.527,84.23,170533,3,6yaMfzgtXRzZMzaHfUtGX5,46.0,30.0,2011-01-01,,1/08/20
Harry Styles,Fine Line,Canyon Moon,5IhzJOXNE7ki0IIJbZbnGq,0.603,0.621,2,-7.14,1,0.0267,3.49e-05,0.119,0.7,94.022,189787,4,6KImCVD70vtIoJWnq6nGn3,76.0,93.0,2019-12-13,pop,1/08/20
The Shins,When I Goose-Step,New Slang (When You Notice The Stripes),2V2cZiuHj1Za9DF3GAfgBu,0.614,0.388,11,-12.069,1,0.0393,0.000145,0.0879,0.584,130.367,229907,4,4LG4Bs1Gadht7TCrMytQUO,0.0,60.0,2019-12-12,albuquerque indie,1/08/20
MGMT,In The Afternoon,In The Afternoon,3d9aUOk1b0muVMSt8eXeiV,0.578,0.798,10,-5.174,0,0.0367,0.00614,0.118,0.311,115.068,226253,4,0SwO7SWeDHJijQ3XNS7xEE,48.0,73.0,2019-12-11,indie rock,1/08/20
Spoon,Text Later,Text Later,3JkEaZFkDMNN6MQX34iliZ,0.546,0.877,4,-6.038,1,0.0409,0.713,0.332,0.784,139.027,56394,4,0K1q0nXQ8is36PzOKAMbNe,0.0,58.0,2019-12-10,alternative rock,1/08/20
Bombay Bicycle Club,I Can Hardly Speak,I Can Hardly Speak,5eMySoI30MSqHDv74PlZ63,0.587,0.848,8,-8.122,1,0.0245,0.0557,0.141,0.683,100.012,239027,4,3pTE9iaJTkWns3mxpNQlJV,0.0,58.0,2020-01-01,alternative dance,1/08/20
The Mowgli's,Wasting Time,Wasting Time,79edhUCJIHerzdr8Tgclw7,0.586,0.788,8,-6.196,1,0.0337,0.00565,0.0844,0.625,93.027,223913,4,6AGUQK1EWK6nvN4pLIDQDQ,0.0,56.0,2020-01-03,indie poptimism,1/08/20
Wild Nothing,Foyer,Foyer,5zQJ1SPVOPi0L0z2Av91Wg,0.57,0.645,11,-8.067,1,0.0296,0.719,0.2,0.763,90.991,238788,4,6NrkINd80slV25wkBu9mEB,0.0,47.0,2020-01-01,chillwave,1/08/20
Twin Atlantic,Barcelona,Barcelona,0nOLvRmUDmpX5VHUtq71Ck,0.561,0.789,10,-5.297,1,0.0401,0,0.106,0.149,96.994,275960,4,4A9xtvezlouTD7H0kyUje9,30.0,42.0,2019-12-06,british alternative rock,1/08/20
